Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1065,N077AA,AA1065BOSSJU,Arrive,SJU,19:10,1910,-66.00166667,18.43916667
American,AA,1065,N077AA,AA1065BOSSJU,Depart,BOS,14:20,1422,-71.005,42.36416667
American,AA,1066,N237AA,AA1066DFWTUS,Arrive,TUS,11:50,1153,-110.9413889,32.11611111
American,AA,1066,N237AA,AA1066DFWTUS,Depart,DFW,10:30,1034,-97.0375,32.89638889
American,AA,1067,N549AA,AA1067DFWCOS,Arrive,COS,12:30,1233,-104.7,38.80555556
American,AA,1067,N549AA,AA1067DFWCOS,Depart,DFW,11:40,1140,-97.0375,32.89638889
American,AA,1068,N539AA,AA1068IAHMIA,Arrive,MIA,0:10,11,-80.29055556,25.79305556
American,AA,1068,N539AA,AA1068IAHMIA,Depart,IAH,20:45,2049,-95.33972222,29.98027778
American,AA,1070,N3CEAA,AA1070DFWBOS,Arrive,BOS,16:35,1639,-71.005,42.36416667
American,AA,1070,N3CEAA,AA1070DFWBOS,Depart,DFW,11:35,1135,-97.0375,32.89638889
American,AA,1071,N495AA,AA1071DFWAUS,Arrive,AUS,7:55,757,-97.66972222,30.19444444
American,AA,1071,N495AA,AA1071DFWAUS,Depart,DFW,6:55,658,-97.0375,32.89638889
American,AA,1072,N3ANAA,AA1072MIALGA,Arrive,LGA,21:00,2100,-73.8725,40.77722222
American,AA,1072,N3ANAA,AA1072MIALGA,Depart,MIA,18:00,1801,-80.29055556,25.79305556
American,AA,1073,N408AA,AA1073BWIDFW,Arrive,DFW,18:25,1826,-97.0375,32.89638889
American,AA,1073,N408AA,AA1073BWIDFW,Depart,BWI,16:00,1600,-76.66833333,39.17527778
American,AA,1073,N408AA,AA1073DFWMCI,Arrive,MCI,20:55,2057,-94.71388889,39.2975
American,AA,1073,N408AA,AA1073DFWMCI,Depart,DFW,19:30,1930,-97.0375,32.89638889
American,AA,1074,N446AA,AA1074DFWMCO,Arrive,MCO,20:55,2055,-81.31583333,28.42888889
American,AA,1074,N446AA,AA1074DFWMCO,Depart,DFW,17:35,1739,-97.0375,32.89638889
American,AA,1075,N630AA,AA1075MCOSJU,Arrive,SJU,16:50,1652,-66.00166667,18.43916667
American,AA,1075,N630AA,AA1075MCOSJU,Depart,MCO,13:10,1310,-81.31583333,28.42888889
American,AA,1077,N249AA,AA1077CMHDFW,Arrive,DFW,18:55,1858,-97.0375,32.89638889
American,AA,1077,N249AA,AA1077CMHDFW,Depart,CMH,16:55,1655,-82.89166667,39.99777778
American,AA,1078,N622AA,AA1078MIALGA,Arrive,LGA,22:55,2256,-73.8725,40.77722222
